Clean_Time,Seconds,Elapsed
0:00:00,0,0
0:00:00,0,30
0:00:30,30,33
0:01:03,63,122
0:03:05,185,7
0:03:12,192,108
0:05:00,300,12
0:05:12,312,9
0:05:21,321,1
0:05:22,322,12
0:05:34,334,18
0:05:52,352,20
0:06:12,372,13
0:06:25,385,28
0:06:53,413,2
0:06:55,415,74
0:08:09,489,1
0:08:10,490,52
0:09:02,542,1
0:09:03,543,66
0:10:09,609,10
0:10:19,619,1
0:10:20,620,2
0:10:22,622,33
0:10:55,655,1
0:10:56,656,1
0:10:57,657,1
0:10:58,658,17
0:11:15,675,1
0:11:16,676,26
0:11:42,702,1
0:11:43,703,29
0:12:12,732,1
0:12:13,733,3
0:12:16,736,7
0:12:23,743,3
0:12:26,746,4
0:12:30,750,3
0:12:33,753,0
0:12:33,753,18
0:12:51,771,30
0:13:21,801,3
0:13:24,804,39
0:14:03,843,2
0:14:05,845,2
0:14:07,847,1
0:14:08,848,38
0:14:46,886,18
0:15:04,904,45
0:15:49,949,2
0:15:51,951,46
0:16:37,997,2
0:16:39,999,35
0:17:14,1034,0
0:17:14,1034,40
0:17:54,1074,6
0:18:00,1080,2
0:18:02,1082,40
0:18:42,1122,16
0:18:58,1138,45
0:19:43,1183,2
0:19:45,1185,45
0:20:30,1230,1
0:20:31,1231,2
0:20:33,1233,42
0:21:15,1275,2
0:21:17,1277,1
0:21:18,1278,30
0:21:48,1308,117
0:23:45,1425,11
0:23:56,1436,125
0:26:01,1561,5
0:26:06,1566,58
0:27:04,1624,2
0:27:06,1626,36
0:27:42,1662,2
0:27:44,1664,38
0:28:22,1702,13
0:28:35,1715,29
0:29:04,1744,8
0:29:12,1752,1
0:29:13,1753,2
0:29:15,1755,27
0:29:42,1782,4
0:29:46,1786,55
0:30:41,1841,15
0:30:56,1856,62
0:31:58,1918,2
0:32:00,1920,1
0:32:01,1921,1
0:32:02,1922,25
0:32:27,1947,4
0:32:31,1951,4
0:32:35,1955,17
0:32:52,1972,34
0:33:26,2006,1
0:33:27,2007,27
0:33:54,2034,22
0:34:16,2056,77
0:35:33,2133,2
0:35:35,2135,2
0:35:37,2137,2
0:35:39,2139,2
0:35:41,2141,1
0:35:42,2142,14
0:35:56,2156,0
0:35:56,2156,7
0:36:03,2163,4
0:36:07,2167,1
0:36:08,2168,4
0:36:12,2172,2
0:36:14,2174,1
0:36:15,2175,1
0:36:16,2176,4
0:36:20,2180,0
0:36:20,2180,22
0:36:42,2202,7
